year,population_by_age_group,population_by_main_offence_group,number_of_population
2020,19 & below,Crimes Against Person,28
2020,19 & below,Commercial Crimes,10
2020,19 & below,Crimes Against Public Order,16
2020,19 & below,Customs Offences,0
2020,19 & below,Drug Offences,47
2020,19 & below,Immigration Offences,0
2020,19 & below,Other Offences,6
2020,19 & below,Property Crimes,58
2020,19 & below,Traffic Offences,1
2020,20-29,Crimes Against Person,161
2020,20-29,Commercial Crimes,110
2020,20-29,Crimes Against Public Order,68
2020,20-29,Customs Offences,48
2020,20-29,Drug Offences,583
2020,20-29,Immigration Offences,1
2020,20-29,Other Offences,91
2020,20-29,Property Crimes,145
2020,20-29,Traffic Offences,16
2020,30-39,Crimes Against Person,158
2020,30-39,Commercial Crimes,93
2020,30-39,Crimes Against Public Order,19
2020,30-39,Customs Offences,72
2020,30-39,Drug Offences,956
2020,30-39,Immigration Offences,4
2020,30-39,Other Offences,69
2020,30-39,Property Crimes,134
2020,30-39,Traffic Offences,14
2020,40-49,Crimes Against Person,143
2020,40-49,Commercial Crimes,81
2020,40-49,Crimes Against Public Order,15
2020,40-49,Customs Offences,35
2020,40-49,Drug Offences,1193
2020,40-49,Immigration Offences,10
2020,40-49,Other Offences,21
2020,40-49,Property Crimes,153
2020,40-49,Traffic Offences,12
2020,50-59,Crimes Against Person,128
2020,50-59,Commercial Crimes,44
2020,50-59,Crimes Against Public Order,11
2020,50-59,Customs Offences,20
2020,50-59,Drug Offences,1241
2020,50-59,Immigration Offences,6
2020,50-59,Other Offences,16
2020,50-59,Property Crimes,137
2020,50-59,Traffic Offences,5
2020,60-64,Crimes Against Person,44
2020,60-64,Commercial Crimes,19
2020,60-64,Crimes Against Public Order,4
2020,60-64,Customs Offences,6
2020,60-64,Drug Offences,421
2020,60-64,Immigration Offences,1
2020,60-64,Other Offences,6
2020,60-64,Property Crimes,52
2020,60-64,Traffic Offences,4
2020,65 & above,Crimes Against Person,30
2020,65 & above,Commercial Crimes,13
2020,65 & above,Crimes Against Public Order,5
2020,65 & above,Customs Offences,5
2020,65 & above,Drug Offences,205
2020,65 & above,Immigration Offences,1
2020,65 & above,Other Offences,4
2020,65 & above,Property Crimes,33
2020,65 & above,Traffic Offences,0
2021,19 & below,Crimes Against Person,81
2021,19 & below,Commercial Crimes,22
2021,19 & below,Crimes Against Public Order,50
2021,19 & below,Customs Offences,2
2021,19 & below,Drug Offences,186
2021,19 & below,Immigration Offences,0
2021,19 & below,Other Offences,17
2021,19 & below,Property Crimes,110
2021,19 & below,Traffic Offences,8
2021,20-29,Crimes Against Person,238
2021,20-29,Commercial Crimes,99
2021,20-29,Crimes Against Public Order,72
2021,20-29,Customs Offences,47
2021,20-29,Drug Offences,1405
2021,20-29,Immigration Offences,16
2021,20-29,Other Offences,95
2021,20-29,Property Crimes,141
2021,20-29,Traffic Offences,23
2021,30-39,Crimes Against Person,231
2021,30-39,Commercial Crimes,120
2021,30-39,Crimes Against Public Order,41
2021,30-39,Customs Offences,78
2021,30-39,Drug Offences,1581
2021,30-39,Immigration Offences,17
2021,30-39,Other Offences,70
2021,30-39,Property Crimes,192
2021,30-39,Traffic Offences,36
2021,40-49,Crimes Against Person,204
2021,40-49,Commercial Crimes,89
2021,40-49,Crimes Against Public Order,25
2021,40-49,Customs Offences,44
2021,40-49,Drug Offences,1778
2021,40-49,Immigration Offences,9
2021,40-49,Other Offences,38
2021,40-49,Property Crimes,160
2021,40-49,Traffic Offences,22
