division,crime_type,year,cases
central police division,robbery,2024,0
central police division,robbery,2023,3
central police division,robbery,2022,4
central police division,robbery,2021,7
central police division,robbery,2020,3
central police division,robbery,2019,8
central police division,robbery,2018,17
central police division,robbery,2017,14
central police division,robbery,2016,15
central police division,robbery,2015,21
central police division,robbery,2014,26
central police division,robbery,2013,37
central police division,robbery,2012,34
central police division,robbery,2011,50
central police division,housebreaking,2024,17
central police division,housebreaking,2023,13
central police division,housebreaking,2022,20
central police division,housebreaking,2021,25
central police division,housebreaking,2020,29
central police division,housebreaking,2019,29
central police division,housebreaking,2018,24
central police division,housebreaking,2017,18
central police division,housebreaking,2016,18
central police division,housebreaking,2015,33
central police division,housebreaking,2014,40
central police division,housebreaking,2013,49
central police division,housebreaking,2012,32
central police division,housebreaking,2011,48
central police division,snatch theft,2024,3
central police division,snatch theft,2023,1
central police division,snatch theft,2022,4
central police division,snatch theft,2021,0
central police division,snatch theft,2020,5
central police division,snatch theft,2019,5
central police division,snatch theft,2018,15
central police division,snatch theft,2017,10
central police division,snatch theft,2016,6
central police division,snatch theft,2015,19
central police division,snatch theft,2014,24
central police division,snatch theft,2013,36
central police division,snatch theft,2012,31
central police division,snatch theft,2011,47
central police division,theft of motor vehicle,2024,5
central police division,theft of motor vehicle,2023,5
central police division,theft of motor vehicle,2022,10
central police division,theft of motor vehicle,2021,8
central police division,theft of motor vehicle,2020,3
central police division,theft of motor vehicle,2019,6
central police division,theft of motor vehicle,2018,7
central police division,theft of motor vehicle,2017,17
central police division,theft of motor vehicle,2016,13
central police division,theft of motor vehicle,2015,25
central police division,theft of motor vehicle,2014,33
central police division,theft of motor vehicle,2013,25
central police division,theft of motor vehicle,2012,47
central police division,theft of motor vehicle,2011,48
central police division,outrage of modesty,2024,238
central police division,outrage of modesty,2023,277
central police division,outrage of modesty,2022,288
central police division,outrage of modesty,2021,190
central police division,outrage of modesty,2020,176
central police division,outrage of modesty,2019,256
central police division,outrage of modesty,2018,284
central police division,outrage of modesty,2017,254
central police division,outrage of modesty,2016,164
central police division,outrage of modesty,2015,206
central police division,outrage of modesty,2014,219
central police division,outrage of modesty,2013,186
central police division,outrage of modesty,2012,193
central police division,outrage of modesty,2011,180
central police division - bukit merah east npc,robbery,2024,0
central police division - bukit merah east npc,robbery,2023,0
central police division - bukit merah east npc,robbery,2022,2
central police division - bukit merah east npc,robbery,2021,1
central police division - bukit merah east npc,robbery,2020,2
central police division - bukit merah east npc,robbery,2019,3
central police division - bukit merah east npc,robbery,2018,2
central police division - bukit merah east npc,robbery,2017,2
central police division - bukit merah east npc,robbery,2016,3
central police division - bukit merah east npc,robbery,2015,3
central police division - bukit merah east npc,robbery,2014,7
central police division - bukit merah east npc,robbery,2013,6
central police division - bukit merah east npc,robbery,2012,8
central police division - bukit merah east npc,robbery,2011,15
central police division - bukit merah east npc,housebreaking,2024,1
central police division - bukit merah east npc,housebreaking,2023,4
central police division - bukit merah east npc,housebreaking,2022,5
