year,value,metric,unit
2021,19343,physical crime cases recorded,number of cases recorded
2021,0,crimes against persons,number of cases recorded
2021,0,violent / serious property crimes,number of cases recorded
2021,0,housebreaking and related crimes,number of cases recorded
2021,0,theft and related crimes,number of cases recorded
2021,0,commercial crimes,number of cases recorded
2021,0,miscellaneous crimes,number of cases recorded
2021,26886,scams & cybercrimes cases recorded,number of cases recorded
2021,23933,scams,number of cases recorded
2021,355,physical crime rate,"per 100,000 population"
2021,0,crimes against persons,"per 100,000 population"
2021,0,violent / serious property crimes,"per 100,000 population"
2021,0,housebreaking and related crimes,"per 100,000 population"
2021,0,theft and related crimes,"per 100,000 population"
2021,0,commercial crimes,"per 100,000 population"
2021,0,miscellaneous crimes,"per 100,000 population"
2021,493,scams & cybercrimes rate,"per 100,000 population"
2021,439,scams,"per 100,000 population"
2021,0,,number_of_cases_recorded
2021,0,definitions and footnotes:,number_of_cases_recorded
2021,0,"with effect from year 2022, crime statistics from singapore police force are reported under the categories 'physical crimes' and 'scams & cybercrimes', instead of 'overall crime'.",number_of_cases_recorded
2021,0,,number_of_cases_recorded
2021,0,notation:,number_of_cases_recorded
2021,0,na   not available or not applicable,number_of_cases_recorded
2021,0,nec  not elsewhere classified,number_of_cases_recorded
2021,0,nes  not elsewhere specified,number_of_cases_recorded
2021,0,-     nil or negligible or not significant,number_of_cases_recorded
2021,0,notes,number_of_cases_recorded
2021,0,numbers may not add up to the totals due to rounding.,number_of_cases_recorded
2021,0,"data are the latest available at the time of access or download. some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",number_of_cases_recorded
2021,0,values are shown in singapore dollars,unless otherwise specified.
2021,0,,number_of_cases_recorded
2021,0,generated by: singstat table builder,number_of_cases_recorded
2021,0,date generated: 28/07/2025,number_of_cases_recorded
2021,0,contact: info@singstat.gov.sg,number_of_cases_recorded
2020,19498,physical crime cases recorded,number of cases recorded
2020,0,crimes against persons,number of cases recorded
2020,0,violent / serious property crimes,number of cases recorded
2020,0,housebreaking and related crimes,number of cases recorded
2020,0,theft and related crimes,number of cases recorded
2020,0,commercial crimes,number of cases recorded
2020,0,miscellaneous crimes,number of cases recorded
2020,17775,scams & cybercrimes cases recorded,number of cases recorded
2020,15651,scams,number of cases recorded
2020,343,physical crime rate,"per 100,000 population"
2020,0,crimes against persons,"per 100,000 population"
2020,0,violent / serious property crimes,"per 100,000 population"
2020,0,housebreaking and related crimes,"per 100,000 population"
2020,0,theft and related crimes,"per 100,000 population"
2020,0,commercial crimes,"per 100,000 population"
2020,0,miscellaneous crimes,"per 100,000 population"
2020,313,scams & cybercrimes rate,"per 100,000 population"
2020,275,scams,"per 100,000 population"
2020,0,,number_of_cases_recorded
2020,0,definitions and footnotes:,number_of_cases_recorded
2020,0,"with effect from year 2022, crime statistics from singapore police force are reported under the categories 'physical crimes' and 'scams & cybercrimes', instead of 'overall crime'.",number_of_cases_recorded
2020,0,,number_of_cases_recorded
2020,0,notation:,number_of_cases_recorded
2020,0,na   not available or not applicable,number_of_cases_recorded
2020,0,nec  not elsewhere classified,number_of_cases_recorded
2020,0,nes  not elsewhere specified,number_of_cases_recorded
2020,0,-     nil or negligible or not significant,number_of_cases_recorded
2020,0,notes,number_of_cases_recorded
2020,0,numbers may not add up to the totals due to rounding.,number_of_cases_recorded
2020,0,"data are the latest available at the time of access or download. some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",number_of_cases_recorded
2020,0,values are shown in singapore dollars,unless otherwise specified.
2020,0,,number_of_cases_recorded
2020,0,generated by: singstat table builder,number_of_cases_recorded
2020,0,date generated: 28/07/2025,number_of_cases_recorded
2020,0,contact: info@singstat.gov.sg,number_of_cases_recorded
