year,population_by_gender,number_of_population
2006,Male,9943
2006,Female,1329
2007,Male,9544
2007,Female,902
2008,Male,9673
2008,Female,955
2009,Male,10302
2009,Female,986
2010,Male,10156
2010,Female,998
2011,Male,9191
2011,Female,837
2012,Male,9077
2012,Female,824
2013,Male,9170
2013,Female,872
2014,Male,8886
2014,Female,868
2015,Male,8783
2015,Female,819
2016,Male,8623
2016,Female,879
2017,Male,8051
2017,Female,834
2018,Male,7892
2018,Female,889
2019,Male,7259
2019,Female,819
2020,Male,6249
2020,Female,685
2021,Male,5374
2021,Female,571
2022,Male,4574
2022,Female,464
