year,population_by_main_offence_group,number_of_population
2007,Crimes Against Person,630
2007,Property Crimes,2501
2007,Commercial Crimes,674
2007,Drug Offences,4434
2007,Immigration Offences,765
2007,Crimes Against Public Order,251
2007,Customs Offences,na
2007,Crimes Under Women's Charter,33
2007,Traffic Offences,56
2007,Other Offences,1102
2008,Crimes Against Person,598
2008,Property Crimes,2252
2008,Commercial Crimes,598
2008,Drug Offences,5136
2008,Immigration Offences,631
2008,Crimes Against Public Order,249
2008,Customs Offences,na
2008,Crimes Under Women's Charter,26
2008,Traffic Offences,73
2008,Other Offences,1065
2009,Crimes Against Person,604
2009,Property Crimes,1969
2009,Commercial Crimes,674
2009,Drug Offences,6016
2009,Immigration Offences,492
2009,Crimes Against Public Order,303
2009,Customs Offences,na
2009,Crimes Under Women's Charter,14
2009,Traffic Offences,86
2009,Other Offences,1130
2010,Crimes Against Person,503
2010,Property Crimes,1745
2010,Commercial Crimes,598
2010,Drug Offences,6230
2010,Immigration Offences,475
2010,Crimes Against Public Order,243
2010,Customs Offences,na
2010,Crimes Under Women's Charter,32
2010,Traffic Offences,57
2010,Other Offences,1271
2011,Crimes Against Person,569
2011,Property Crimes,1685
2011,Commercial Crimes,694
2011,Drug Offences,6061
2011,Immigration Offences,292
2011,Crimes Against Public Order,215
2011,Customs Offences,282
2011,Crimes Under Women's Charter,na
2011,Traffic Offences,48
2011,Other Offences,182
2012,Crimes Against Person,543
2012,Property Crimes,1406
2012,Commercial Crimes,742
2012,Drug Offences,6287
2012,Immigration Offences,295
2012,Crimes Against Public Order,171
2012,Customs Offences,211
2012,Crimes Under Women's Charter,na
2012,Traffic Offences,55
2012,Other Offences,191
2013,Crimes Against Person,603
2013,Property Crimes,1349
2013,Commercial Crimes,704
2013,Drug Offences,6510
2013,Immigration Offences,225
2013,Crimes Against Public Order,175
2013,Customs Offences,166
2013,Crimes Under Women's Charter,na
2013,Traffic Offences,66
2013,Other Offences,244
2014,Crimes Against Person,575
2014,Property Crimes,1238
2014,Commercial Crimes,537
2014,Drug Offences,6527
2014,Immigration Offences,184
2014,Crimes Against Public Order,174
2014,Customs Offences,171
2014,Crimes Under Women's Charter,na
2014,Traffic Offences,69
2014,Other Offences,279
2015,Crimes Against Person,560
2015,Property Crimes,1136
2015,Commercial Crimes,488
2015,Drug Offences,6675
2015,Immigration Offences,134
2015,Crimes Against Public Order,129
2015,Customs Offences,88
2015,Crimes Under Women's Charter,na
2015,Traffic Offences,73
2015,Other Offences,319
2016,Crimes Against Person,607
2016,Property Crimes,1005
2016,Commercial Crimes,508
2016,Drug Offences,6666
2016,Immigration Offences,123
2016,Crimes Against Public Order,147
2016,Customs Offences,215
2016,Crimes Under Women's Charter,na
2016,Traffic Offences,72
2016,Other Offences,159
2017,Crimes Against Person,655
2017,Property Crimes,966
2017,Commercial Crimes,440
2017,Drug Offences,6178
2017,Immigration Offences,102
2017,Crimes Against Public Order,126
2017,Customs Offences,226
2017,Crimes Under Women's Charter,na
2017,Traffic Offences,62
2017,Other Offences,130
2018,Crimes Against Person,705
2018,Property Crimes,970
2018,Commercial Crimes,447
2018,Drug Offences,6030
2018,Immigration Offences,64
2018,Crimes Against Public Order,149
2018,Customs Offences,220
2018,Crimes Under Women's Charter,na
2018,Traffic Offences,58
2018,Other Offences,138
2019,Crimes Against Person,701
2019,Property Crimes,862
2019,Commercial Crimes,448
2019,Drug Offences,5420
2019,Immigration Offences,59
2019,Crimes Against Public Order,145
2019,Customs Offences,271
2019,Crimes Under Women's Charter,0
2019,Traffic Offences,39
2019,Other Offences,133
2020,Crimes Against Person,692
2020,Property Crimes,712
2020,Commercial Crimes,370
2020,Drug Offences,4646
2020,Immigration Offences,23
2020,Crimes Against Public Order,138
2020,Customs Offences,186
2020,Crimes Under Women's Charter,0
2020,Traffic Offences,52
2020,Other Offences,115
2021,Crimes Against Person,702
2021,Property Crimes,639
2021,Commercial Crimes,343
2021,Drug Offences,3682
2021,Immigration Offences,24
2021,Crimes Against Public Order,171
2021,Customs Offences,160
2021,Crimes Under Women's Charter,0
2021,Traffic Offences,88
2021,Other Offences,136
2022,Crimes Against Person,726
2022,Property Crimes,579
2022,Commercial Crimes,336
2022,Drug Offences,2867
2022,Immigration Offences,41
2022,Crimes Against Public Order,174
2022,Customs Offences,159
2022,Crimes Under Women's Charter,0
2022,Traffic Offences,65
2022,Other Offences,91
